"mineralName","formula","discoveryYear"
"Ganomalite","Pb<sub>9</sub>Ca<sub>5</sub>Mn(Si<sub>2</sub>O<sub>7</sub>)<sub>4</sub>(SiO<sub>4</sub>)O","1876"
"Cuspidine","Ca<sub>8</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>F<sub>4</sub>","1876"
"Friedelite","Mn<sup>2+</sup><sub>8</sub>Si<sub>6</sub>O<sub>15</sub>(OH,Cl)<sub>10</sub>","1876"
"Clinohumite","Mg<sub>9</sub>(SiO<sub>4</sub>)<sub>4</sub>F<sub>2</sub>","1876"
"Melanophlogite","46SiO<sub>2</sub>&middot;6(N<sub>2</sub>,CO<sub>2</sub>)&middot;2(CH<sub>4</sub>,N<sub>2</sub>)","1876"
"Hyalotekite","(Ba,Pb,K)<sub>4</sub>(Ca,Y)<sub>2</sub>(B,Be)<sub>2</sub>(Si,B)<sub>2</sub>Si<sub>8</sub>O<sub>28</sub>(F,Cl)","1877"
"Davreuxite","MnAl<sub>6</sub>Si<sub>4</sub>O<sub>17</sub>(OH)<sub>2</sub>","1878"
"Thaumasite","Ca<sub>3</sub>(SO<sub>4</sub>)[Si(OH)<sub>6</sub>](CO<sub>3</sub>)&middot;12H<sub>2</sub>O","1878"
"Dumortierite","Al(Al<sub>2</sub>O)(Al<sub>2</sub>O)<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>(BO<sub>3</sub>)","1879"
"Siderophyllite","KFe<sup>2+</sup><sub>2</sub>Al(Al<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1880"
"Eucryptite","LiAlSiO<sub>4</sub>","1880"
"Tobermorite","Ca<sub>4</sub>Si<sub>6</sub>O<sub>17</sub>(H<sub>2</sub>O)<sub>2</sub>&middot;(Ca&middot;3H<sub>2</sub>O)","1880"
"Litidionite","CuNaKSi<sub>4</sub>O<sub>10</sub>","1880"
"Melanotekite","Pb<sub>2</sub>Fe<sup>3+</sup><sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)O<sub>2</sub>","1880"
"Kentrolite","Pb<sub>2</sub>Mn<sup>3+</sup><sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)O<sub>2</sub>","1880"
"Hydrobiotite","K(Mg,Fe<sup>2+</sup>)<sub>6</sub>((Si,Al)<sub>8</sub>O<sub>20</sub>)(OH)<sub>4</sub>&middot;nH<sub>2</sub>O","1882"
"Hieratite","K<sub>2</sub>[SiF<sub>6</sub>]","1882"
"Dravite","NaMg<sub>3</sub>Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","1883"
"Bertrandite","Be<sub>4</sub>(Si<sub>2</sub>O<sub>7</sub>)(OH)<sub>2</sub>","1883"
"Kaersutite","NaCa<sub>2</sub>(Mg<sub>3</sub>AlTi<sup>4+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>O<sub>2</sub>","1884"
"Polylithionite","KLi<sub>2</sub>Al(Si<sub>4</sub>O<sub>10</sub>)(F,OH)<sub>2</sub>","1884"
"Kornerupine","Mg<sub>3</sub>Al<sub>6</sub>(Si,Al,B)<sub>5</sub>O<sub>21</sub>(OH)","1884"
"Cappelenite-(Y)","Ba(Y,Ce)<sub>6</sub>Si<sub>3</sub>B<sub>6</sub>O<sub>24</sub>F<sub>2</sub>","1884"
"Rinkite-(Ce)","(Ca<sub>3</sub>Ce)Na(NaCa)Ti(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>(OF)F<sub>2</sub>","1884"
"Kainosite-(Y)","Ca<sub>2</sub>(Y,Ce)<sub>2</sub>(Si<sub>4</sub>O<sub>12</sub>)(CO<sub>3</sub>)&middot;H<sub>2</sub>O","1885"
