"mineralName","formula","discoveryYear"
"Epistolite","Na<sub>2</sub>(Nb,Ti)<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)O<sub>2</sub>&middot;nH<sub>2</sub>O","1897"
"Lorenzenite","Na<sub>2</sub>Ti<sub>2</sub>(Si<sub>2</sub>O<sub>6</sub>)O<sub>3</sub>","1897"
"Leucosphenite","BaNa<sub>4</sub>Ti<sub>2</sub>B<sub>2</sub>Si<sub>10</sub>O<sub>30</sub>","1900"
"Narsarsukite","Na<sub>4</sub>(Ti,Fe)<sub>2</sub>[Si<sub>8</sub>O<sub>20</sub>](O,OH,F)<sub>2</sub>","1900"
"Koenenite","Na<sub>4</sub>Mg<sub>9</sub>Al<sub>4</sub>Cl<sub>12</sub>(OH)<sub>22</sub>","1902"
"Natroalunite","NaAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","1902"
"Natrojarosite","NaFe<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","1902"
"Vanthoffite","Na<sub>6</sub>Mg(SO<sub>4</sub>)<sub>4</sub>","1902"
"Cryolithionite","Na<sub>3</sub>Al<sub>2</sub>(LiF<sub>4</sub>)<sub>3</sub>","1904"
"Tychite","Na<sub>6</sub>Mg<sub>2</sub>(CO<sub>3</sub>)<sub>4</sub>(SO<sub>4</sub>)","1905"
"Metathénardite","Na<sub>2</sub>SO<sub>4</sub>","1905"
"Winchite","&#9723;{CaNa}{Mg<sub>4</sub>Al}(Si<sub>8</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1906"
"Reyerite","(Na,K)<sub>2</sub>Ca<sub>14</sub>(Si,Al)<sub>24</sub>O<sub>58</sub>(OH)<sub>8</sub>&middot;6H<sub>2</sub>O","1906"
"Rinneite","K<sub>3</sub>Na[FeCl<sub>6</sub>]","1908"
"Villiaumite","NaF","1908"
"Elbaite","Na(Li<sub>1.5</sub>Al<sub>1.5</sub>)Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","1913"
"Lacroixite","NaAl(PO<sub>4</sub>)F","1914"
"Ussingite","Na<sub>2</sub>AlSi<sub>3</sub>O<sub>8</sub>OH","1914"
"Searlesite","Na(H<sub>2</sub>BSi<sub>2</sub>O<sub>7</sub>)","1914"
"Leifite","(Na,H<sub>2</sub>O)Na<sub>6</sub>[Be<sub>2</sub>Al<sub>2</sub>(Al,Si)Si<sub>15</sub>O<sub>39</sub>]F<sub>2</sub>","1915"
"Burkeite","Na<sub>6</sub>(CO<sub>3</sub>)(SO<sub>4</sub>)<sub>2</sub>","1921"
"Barroisite","&#9723;{CaNa}{Mg<sub>3</sub>Al<sub>2</sub>}(AlSi<sub>7</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1922"
"Yuksporite","K<sub>4</sub>(Ca,Na)<sub>14</sub>(Sr,Ba)<sub>2</sub>(&#9723;,Mn,Fe)(Ti,Nb)<sub>4</sub>(O,OH)<sub>4</sub>(Si<sub>6</sub>O<sub>17</sub>)<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>3</sub>(H<sub>2</sub>O,OH)<sub>3</sub>","1922"
"Parsettensite","(K,Na,Ca)<sub>7.5</sub>(Mn,Mg)<sub>49</sub>Si<sub>72</sub>O<sub>168</sub>(OH)<sub>50</sub>&middot;nH<sub>2</sub>O","1923"
"Murmanite","Na<sub>2</sub>Ti<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)O<sub>2</sub>&middot;2H<sub>2</sub>O","1923"
"Swedenborgite","NaBe<sub>4</sub>Sb<sup>5+</sup>O<sub>7</sub>","1924"
"Ashcroftine-(Y)","K<sub>5</sub>Na<sub>5</sub>(Y,Ca)<sub>12</sub>Si<sub>28</sub>O<sub>70</sub>(OH)<sub>2</sub>(CO<sub>3</sub>)<sub>8</sub>&middot;8H<sub>2</sub>O","1924"
"Arrojadite-(KFe)","(KNa)(Fe<sup>2+</sup>&#9723;)Ca(Na<sub>2</sub>&#9723;)Fe<sup>2+</sup><sub>13</sub>Al(PO<sub>4</sub>)<sub>11</sub>(PO<sub>3</sub>OH)(OH)<sub>2</sub>","1925"
"Beidellite","(Na,Ca<sub>0.5</sub>)<sub>0.3</sub>Al<sub>2</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1925"
"Labuntsovite-Mn","Na<sub>4</sub>K<sub>4</sub>(Ba,K)<sub>2</sub>Mn<sup>2+</sup>(Ti,Nb)<sub>8</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>4</sub>(O,OH)<sub>8</sub>&middot;10-12H<sub>2</sub>O","1925"
"Malladrite","Na<sub>2</sub>[SiF<sub>6</sub>]","1926"
"Kernite","Na<sub>2</sub>[B<sub>4</sub>O<sub>6</sub>(OH)<sub>2</sub>]&middot;3H<sub>2</sub>O","1927"
