"mineralName","formula","discoveryYear"
"Hydrotalcite","Mg<sub>6</sub>Al<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>16</sub>&middot;4H<sub>2</sub>O","1842"
"Pickeringite","MgAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>&middot;22H<sub>2</sub>O","1844"
"Glaucophane","&#9723;[Na<sub>2</sub>][Mg<sub>3</sub>Al<sub>2</sub>]Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1845"
"Pollucite","(Cs,Na)<sub>2</sub>(Al<sub>2</sub>Si<sub>4</sub>O<sub>12</sub>)&middot;2H<sub>2</sub>O","1846"
"Chiolite","Na<sub>5</sub>Al<sub>3</sub>F<sub>14</sub>","1846"
"Montmorillonite","(Na,Ca)<sub>0.33</sub>(Al,Mg)<sub>2</sub>(Si<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1847"
"Hercynite","Fe<sup>2+</sup>Al<sub>2</sub>O<sub>4</sub>","1847"
"Apjohnite","Mn<sup>2+</sup>Al<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>&middot;22H<sub>2</sub>O","1847"
"Gyrolite","NaCa<sub>16</sub>Si<sub>23</sub>AlO<sub>60</sub>(OH)<sub>8</sub>&middot;14H<sub>2</sub>O","1851"
"Ephesite","NaLiAl<sub>2</sub>(Al<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1851"
"Clinochlore","Mg<sub>5</sub>Al(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>8</sub>","1851"
"Svanbergite","SrAl<sub>3</sub>(PO<sub>4</sub>)(SO<sub>4</sub>)(OH)<sub>6</sub>","1851"
"Meliphanite","(Ca,Na)<sub>2</sub>(Be,Al)[Si<sub>2</sub>O<sub>6</sub>(OH,F)]","1852"
"Prosopite","CaAl<sub>2</sub>F<sub>4</sub>[(OH)<sub>4-x</sub>F<sub>x</sub>]","1853"
"Tschermigite","(NH<sub>4</sub>)Al(SO<sub>4</sub>)<sub>2</sub>&middot;12H<sub>2</sub>O","1853"
"Palygorskite","(Mg,Al)<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>(OH)&middot;4H<sub>2</sub>O","1862"
"Planerite","Al<sub>6</sub>(PO<sub>4</sub>)<sub>2</sub>(PO<sub>3</sub>OH)<sub>2</sub>(OH)<sub>8</sub>&middot;4H<sub>2</sub>O","1862"
"Pachnolite","NaCa[AlF<sub>6</sub>]&middot;H<sub>2</sub>O","1863"
"Jadeite","Na(Al,Fe<sup>3+</sup>)Si<sub>2</sub>O<sub>6</sub>","1863"
"Mordenite","(Na<sub>2</sub>,Ca,K<sub>2</sub>)<sub>4</sub>(Al<sub>8</sub>Si<sub>40</sub>)O<sub>96</sub>&middot;28H<sub>2</sub>O","1864"
"Evansite","Al<sub>3</sub>(PO<sub>4</sub>)(OH)<sub>6</sub>&middot;6H<sub>2</sub>O","1864"
"Taranakite","(K,NH<sub>4</sub>)Al<sub>3</sub>(PO<sub>4</sub>)<sub>3</sub>(OH)&middot;9H<sub>2</sub>O","1865"
"Marialite","Na<sub>4</sub>Al<sub>3</sub>Si<sub>9</sub>O<sub>24</sub>Cl","1866"
"Woodwardite","Cu<sub>1-x</sub>Al<sub>x</sub>(OH)<sub>2</sub>(SO<sub>4</sub>)<sub>x/2</sub>&middot;nH<sub>2</sub>O","1866"
"Cookeite","(LiAl<sub>4</sub>&#9723;)[AlSi<sub>3</sub>O<sub>10</sub>](OH)<sub>8</sub>","1866"
"Attakolite","CaMn<sup>2+</sup>Al<sub>4</sub>(SiO<sub>3</sub>OH)(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>","1868"
"Gearksutite","Ca[Al(F,OH)<sub>5</sub>(H<sub>2</sub>O)]","1868"
"Annite","KFe<sup>2+</sup><sub>3</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1868"
"Mendozite","NaAl(SO<sub>4</sub>)<sub>2</sub>&middot;11H<sub>2</sub>O","1868"
"Kalinite","KAl(SO<sub>4</sub>)<sub>2</sub>&middot;11H<sub>2</sub>O","1868"
"Augelite","Al<sub>2</sub>(PO<sub>4</sub>)(OH)<sub>3</sub>","1868"
"Trolleite","Al<sub>4</sub>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>3</sub>","1868"
"Berlinite","AlPO<sub>4</sub>","1868"
"Durangite","NaAl(AsO<sub>4</sub>)F","1869"
"Milarite","K(&#9723;H<sub>2</sub>O)Ca<sub>2</sub>(Be<sub>2</sub>Al)[Si<sub>12</sub>O<sub>30</sub>]","1870"
"Valleriite","(Fe<sup>2+</sup>,Cu)<sub>4</sub>(Mg,Al)<sub>3</sub>S<sub>4</sub>(OH,O)<sub>6</sub>","1870"
"Lithiophorite","(Al,Li)MnO<sub>2</sub>(OH)<sub>2</sub>","1870"
"Montebrasite","LiAl(PO<sub>4</sub>)(OH)","1870"
"Hydrokenoralstonite"," Na<sub>0.5</sub>(Al,Mg)<sub>2</sub>(F,OH)<sub>6</sub>&middot;H<sub>2</sub>O ","1871"
"Ardennite-(As)","Mn<sup>2+</sup><sub>4</sub>Al<sub>4</sub>(AlMg)(AsO<sub>4</sub>)(SiO<sub>4</sub>)<sub>2</sub>(Si<sub>3</sub>O<sub>10</sub>)(OH)<sub>6</sub>","1872"
"Microsommite","Na<sub>4</sub>K<sub>2</sub>Ca<sub>2</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(SO<sub>4</sub>)Cl<sub>2</sub>","1872"
"Chloraluminite","AlCl<sub>3</sub>&middot;6H<sub>2</sub>O","1873"
"Ettringite","Ca<sub>6</sub>Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>(OH)<sub>12</sub>&middot;26H<sub>2</sub>O","1874"
"Dawsonite","NaAlCO<sub>3</sub>(OH)<sub>2</sub>","1874"
"Sauconite","Na<sub>0.3</sub>Zn<sub>3</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;4H<sub>2</sub>O","1875"
"Aerinite","(Ca<sub>5.1</sub>Na<sub>0.5</sub>)(Fe<sup>3+</sup>,Al,Fe<sup>2+</sup>,Mg)<sub>4</sub>(Al,Mg)<sub>6</sub>[HSi<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>][(CO<sub>3</sub>)<sub>1.2</sub>(H<sub>2</sub>O)<sub>12</sub>]","1876"
"Roscoelite","K(V<sup>3+</sup>,Al)<sub>2</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1876"
"Liskeardite","[(Al,Fe)<sub>32</sub>(AsO<sub>4</sub>)<sub>18</sub>(OH)<sub>42</sub>(H<sub>2</sub>O)<sub>22</sub>]&middot;52H<sub>2</sub>O","1878"
"Dickinsonite-(KMnNa)","(KNa)(Mn<sup>2+</sup>&#9723;)Ca(Na<sub>2</sub>Na)Mn<sup>2+</sup><sub>13</sub>Al(PO<sub>4</sub>)<sub>11</sub>(PO<sub>4</sub>)(OH)<sub>2</sub>","1878"
"Dietrichite","(Zn,Fe<sup>2+</sup>,Mn<sup>2+</sup>)Al<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>&middot;22H<sub>2</sub>O","1878"
"Eosphorite","Mn<sup>2+</sup>Al(PO<sub>4</sub>)(OH)<sub>2</sub>&middot;H<sub>2</sub>O","1878"
"Davreuxite","MnAl<sub>6</sub>Si<sub>4</sub>O<sub>17</sub>(OH)<sub>2</sub>","1878"
"Dumortierite","Al(Al<sub>2</sub>O)(Al<sub>2</sub>O)<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>(BO<sub>3</sub>)","1879"
"Siderophyllite","KFe<sup>2+</sup><sub>2</sub>Al(Al<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1880"
"Eucryptite","LiAlSiO<sub>4</sub>","1880"
"Zincaluminite","Zn<sub>6</sub>Al<sub>6</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>16</sub>&middot;5H<sub>2</sub>O","1881"
"Hydrobiotite","K(Mg,Fe<sup>2+</sup>)<sub>6</sub>((Si,Al)<sub>8</sub>O<sub>20</sub>)(OH)<sub>4</sub>&middot;nH<sub>2</sub>O","1882"
"Jeremejevite","Al<sub>6</sub>(BO<sub>3</sub>)<sub>5</sub>(F,OH)<sub>3</sub>","1883"
